nome,endereco
3G CELL LTDA,"Rua José de Oscar de Abreu Sampaio, 397  - Rua José de Oscar de Abreu Sampaio, 397 - Jardim Anália Franco - SP"
A. ALBERTO ELIAS CHENU – ME,"Alameda França, 435 - Jardim Paulista - Unidade 41 - São Paulo - SP - SP"
ADONAY ALVES SIQUEIRA VIEIRA,"""R MONTE SINAI, 55 - CIDADE ANTONIO ESTEVAO DE CARVALHO"" - São Paulo - SP - SP"
estado,cidade,title,endereco
MT,Lucas do Rio Verde,Unidade de Negócio Lucas do Rio Verde,"Av. das Nações, 172,  Lucas do Rio Verde/MT"
MT,Nova Mutum,Unidade de Negócio Nova Mutum,"R. das Helicônias, 708 - 03 - Jardim das Orquídeas Nova Mutum - MT, 78450-004"
MT,Primavera do Leste,Unidade de Negócio Primavera do Leste,"R. Piracicaba, 864 - Primavera I Primavera do Leste - MT CEP: 78850-000"
MT,Rondonópolis,Unidade de Negócio Rondonópolis,"Avenida Frei Servácio, 601, La Salle, CEP: 78710-004"
MT,Sinop,Unidade de Negócio Sinop,"Av. dos Tarumãs, 2582 - Jardim Maringá,Sinop - MT,CEP: 78556-250"
MT,Sorriso,Unidade de Negócio Sorriso,"Av. Natalino João Brescansin, 548 – Centro-Sul   CEP 78.896-072"
MT,Tangara da Serra,Unidade de Negócio Tangara da Serra,"Avenida Brasil, 564 E - Centro, CEP: 78300-000  Tangará da Serra - MT"
PA,Belém,Unidade de negócio Belém - PA,"Travessia Antônio Baena, 882 - Marco, Belém - PA, 66093-082"
Paraná,Maringá,Maringá Teixeira Mendes,"Avenida Doutor Luiz Teixeira Mendes, 969 - Cep: 87015-000"
Paraná,Porto Rico,Porto Rico,"Rua trav Riviera, nr 1915 Sl 10-B QD 03 Lt 04/17-B Loteamento Riviera - 87.950-000"
PB,CAMPINA GRANDE,Unidade Campina Grande - PB,"AV PREFEITO SEVERINO CABRAL, 95 2º andar Loja 212"
PB,João Pessoa,Unidade de Negócio Joao - Pessoa,"Rua Artur Vilhena de Carvalho, S/N - Loja 2 , Altiplano Cabo Branco, CEP:58046-030"
PB,João Pessoa,Unidade João Pessoa - Tambaú,"Av. Sen. Ruy Carneiro, 279 - Tambaú, João Pessoa - PB, 58039-180"
PE,Caruaru,Caruaru - PE,"Av. Dom Bôsco, 106 - Maurício de Nassau, Caruaru - PE"
PE,Garanhuns,Unidade de Negócio Garanhuns,"Rua Dom José, 234, Sala 02, Bairro Santo Antonio  Garanhuns – PE, CEP: 55293-120"
PE,Petrolina,Unidade Petrolina - PE,"Dantas Barreto, nº 02 B - Vila Eduardo, Petrolina - PE - CEP: 56328-120"
PE,Recife,Unidade de Negócio Recife,"Av. Engenheiro Domingos Ferreira nº 431, Loja B   Bairro do Pina  CEP 51.011-050"
PI,Teresina,Unidade de Negócio Teresina,"Av. Dom Severino, 879 - Fátima, CEP:64052-535"
PI,Teresina,Teresina - PI,"Av. Dom Severino, 1733 - Sala 12 - Fátima, Teresina - PI, 64049-380"
PR,Alm. Tamandaré,Unidade de Negócio Almirante Tamandaré,"Rua Avenida Francisco Kruger, 6330, Cachoeira CEP: 83504-490"
PR,Apucarana,UNIDADE APUCARANA PR,RUA DESEMBARGADOR CLOTÁRIO PORTUGAL 1511 SL04 86812-490
PR,Arapongas,Unidade de Negócio Arapongas,"Rua Marabu, 1094,sala 01 Centro, CEP:86.701-400"
PR,Araucária,Unidade de Negócio Araucária,"Av. Dr. Victor do Amaral, 1020 - Sala 01  Araucenter, Centro, CEP: 83702-040"
PR,Campo Largo,Unidade de Negócio Campo Largo,"Rua Centenário, 1667, Centro  CEP: 83601-000"
